Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
SOLEIL PHARMACY INC,MD,GLEN BURNIE,1320,0,25218,POINT (-76.624984 39.164818)
NORTHEAST MEDICAL GROU,CT,GROTON,0,119,0,POINT (-72.07877 41.343693)
PACIFIC COAST IMAGING,OR,ASTORIA,0,200,0,POINT (-123.8347 46.18907)
HOLY CROSS MEDICAL GRO,FL,WILTON MANORS,95,1124,0,POINT (-80.138934 26.160363)
KENNEDY FAMILY HEALTH,NJ,CHERRY HILL,0,135499,0,POINT (-75.030928 39.925801)
PEAK PEDIATRICS PLLC,CO,WHEAT RIDGE,1721,51,560,POINT (-105.093757 39.769331)
ADVOCATE HEALTH AND HO,IL,PLAINFIELD,351,0,0,POINT (-88.20075 41.608547)
THE EMORY CLINIC,GA,SNELLVILLE,0,14866,0,POINT (-84.020116 33.85751)
JAMES H SONG MD INC,CA,HACIENDA HEIGHTS,0,17596,0,POINT (-117.968746 33.992976)
OPEN HEALTH CARE CLINI,LA,BATON ROUGE,4281,390,35,POINT (-91.187488 30.443319)
SIU CENTER FOR FAMILY,IL,TAYLORVILLE,0,0,40,POINT (-89.294943 39.549347)
MOUNTAIN VIEW HOSPITAL,ID,REXBURG,1145,1217,0,POINT (-111.789532 43.826071)
MEDSCRIPT PHARMACY LLC,NY,ROCKVILLE CENTRE,160,0,4615,POINT (-73.640293 40.662249)
WESLEY COMMUNITY CENTE,AZ,PHOENIX,139284,16159,108052,POINT (-112.072585 33.448204)
RIPLEY EMERGENCY GROUP,MO,MOBERLY,102962,17337,0,POINT (-92.433556 39.421755)
UNIV ANESTHESIOLOGY AS,OR,PORTLAND,0,19172,0,POINT (-122.681425 45.516018)
PROVIDENCE HEALTH AND,OR,SHERWOOD,9263,4664,40,POINT (-122.841775 45.355389)
PRESBYTERIAN HOME HEAL,NM,LOGAN,0,107,0,POINT (-103.410827 35.362489)
SAINT ALPHONSUS MEDICA,ID,NAMPA,7027,960,176,POINT (-116.573581 43.585322)
CITY OF BARTLETT DBA B,TN,BARTLETT,0,2235,0,POINT (-89.868475 35.204893)
BTT ENTERPRISES,CA,LAGUNA HILLS,0,0,280,POINT (-117.710412 33.612927)
MAHALAKSHMI LLC,OH,BEAVERCREEK,0,0,1080,POINT (-84.065876 39.73277)
MEREDITHS CARE PARTNER,IL,CHICAGO,13051,0,0,POINT (-87.632398 41.883229)
DOCTORS EXPRESS,OR,LAKE OSWEGO,6460,641,248,POINT (-122.667696 45.421092)
RURAL HEALTH GROUP INC,NC,SCOTLAND NECK,175,0,0,POINT (-77.421669 36.131102)
PHARMOLOGY MOORE LLC,OK,MOORE,0,0,2280,POINT (-97.488365 35.338274)
ALL STAR PEDIATRICS,AZ,GILBERT,760,0,0,POINT (-111.79034 33.330732)
ASSOCIATES IN OPTHALMO,PA,WEST MIFFLIN,0,0,38,POINT (-79.927029 40.348131)
SINCERE MEDICAL CARE P,NY,FLUSHING,0,0,239,POINT (-73.817802 40.765301)
NORTHERN WESTCHESTER H,NY,MOUNT KISCO,216633,77668,0,POINT (-73.726657 41.207297)
AFFILIATED HOSPITALIST,AZ,SCOTTSDALE,0,77263,0,POINT (-111.926061 33.494909)
NORTHWEST PHYSICIANS L,AR,FAYETTEVILLE,37358,5251,0,POINT (-94.160583 36.061928)
THE REGIONAL MEDICAL C,SC,ORANGEBURG,164142,1443578,0,POINT (-80.863927 33.487414)
6 PALO ALTO MEDICAL FO,CA,SAN FRANCISCO,283,0,0,POINT (-122.420168 37.78008)
PUTNAM COUNTY HOSPITAL,IN,BAINBRIDGE,0,603,0,POINT (-86.810294 39.761985)
JOSE M BIRRIEL  MD PA,FL,MIAMI,0,4915,0,POINT (-80.194702 25.775084)
OHIO COUNTY HOSPITAL,KY,MORGANTOWN,5396,0,0,POINT (-86.694937 37.216595)
ADVOCATE HEALTH AND HO,IL,ARLINGTON HEIGHTS,260,47,0,POINT (-87.98051 42.08296)
CITRUS DERMATOLOGY LLC,FL,CRYSTAL RIVER,112456,21512,0,POINT (-82.5942 28.899724)
GREAT MINES HEALTH CEN,MO,PARK HILLS,17397,527,5983,POINT (-90.51818 37.854218)
B AND R STORES INC,IA,COUNCIL BLUFFS,0,0,1186,POINT (-95.85436 41.258963)
KINGSBROOK JEWISH MEDI,NY,BROOKLYN,4472,61785,0,POINT (-73.990996 40.692529)
NEPHROLOGY ASSOCIATES,FL,LAKE MARY,0,1163,0,POINT (-81.317809 28.759052)
BIO MEDICAL APPLICATIO,GA,TUCKER,0,0,28,POINT (-84.214594 33.853725)
OUACHITA COUNTY MEDICA,AR,CAMDEN,3421,47891,12161,POINT (-92.834322 33.584444)
MEADOWCREST PHARMACY,LA,GRETNA,480,0,7411,POINT (-90.051566 29.912239)
PEACH HOME HEALTH CARE,GA,WARNER ROBINS,0,13220,0,POINT (-83.612988 32.629183)
FAST PACE MEDICAL CLIN,TN,MCMINNVILLE,0,0,296,POINT (-85.774444 35.681402)
UNIVERSITY MEDICAL SER,FL,ORLANDO,0,12987,0,POINT (-81.378879 28.538331)
IOWA PHYSICIANS CLINIC,IL,MORTON,18472,4992,80,POINT (-89.459644 40.612858)
ST LUKES PHYSICIAN GRO,PA,EASTON,655,130,0,POINT (-75.216698 40.689353)
AMBOY MEDICAL PRACTICE,NY,STATEN ISLAND,0,987,0,POINT (-74.076203 40.643498)
CHRISTIANA CARE HEALTH,DE,WILMINGTON,709,204,0,POINT (-75.5451 39.744432)
TYSON DRUGS INC,MS,HOLLY SPRINGS,0,0,17073,POINT (-89.444805 34.767501)
MERCY CLINIC SPRINGFIE,MO,LOCKWOOD,842,774,0,POINT (-93.957677 37.389972)
HAVEN OF SANDPOINTE,AZ,YUMA,0,9367,0,POINT (-114.62088 32.722313)
MMC EMERGENCY PHYSICIA,NY,BROOKLYN,0,11979,0,POINT (-73.990996 40.692529)
NEW YORK GENERAL MEDIC,NY,SODUS,0,234,0,POINT (-77.061462 43.236085)
DESERT GROUP SERVICES,CA,JOSHUA TREE,0,10480,0,POINT (-116.315127 34.126919)
ST JUDE RADIOLOGY MEDI,CA,YORBA LINDA,0,12,0,POINT (-117.824314 33.888526)
SCOTTSDALE INFECTIOUS,AZ,SCOTTSDALE,0,26733,0,POINT (-111.926061 33.494909)
AG FAMILY MEDICINE,GA,DULUTH,0,0,2600,POINT (-84.145552 34.003794)
APOSTLE DIAGNOSTICS,CA,SAN JOSE,10543,0,0,POINT (-121.888128 37.334807)
ST VINCENT MEDICAL GRO,IN,INDIANAPOLIS,1200,96743,0,POINT (-86.156212 39.76845)
APPLE DISCOUNT DRUGS,MD,SALISBURY,0,0,7404,POINT (-75.599181 38.365568)
BANNER GOLDFIELD MEDIC,AZ,APACHE JUNCTION,26617,59634,0,POINT (-111.550262 33.414629)
ACACIA MEDICAL GROUP P,MN,SAINT PETER,0,407,0,POINT (-93.959297 44.323871)
CH AFFILIATES LLC,FL,ORLANDO,971535,542,0,POINT (-81.378879 28.538331)
TEXAS COUNTY MEMORIAL,MO,LICKING,11032,4943,0,POINT (-91.862646 37.4984)
HALLMARK HEALTH SYSTEM,MA,MEDFORD,69639,19371,1345,POINT (-71.106454 42.418557)
FHN,IL,PECATONICA,0,554,0,POINT (-89.359375 42.309563)
ALL CARE CLINIC PC,TN,MEMPHIS,0,2911,0,POINT (-90.052136 35.143378)
SONORAN DESERT PATHOLO,FL,FORT LAUDERDALE,412485,1700,0,POINT (-80.143586 26.124163)
JACOBSON MEMORIAL HOSP,ND,RICHARDTON,965,249,0,POINT (-102.314788 46.883663)
RADIOLOGY ALLIANCE PC,TN,HERMITAGE,0,9,0,POINT (-86.623157 36.197898)
EMORY SPECIALITY ASSOC,GA,LAGRANGE,0,9647,0,POINT (-85.029644 33.038741)
UMASS MEMORIAL MEDICAL,MA,WORCESTER,9962,35038,0,POINT (-71.802278 42.262073)
EPMG SOUTHWEST MICHIGA,MI,NILES,654,0,0,POINT (-86.252537 41.829642)
NORTH SHORE PHYSICIANS,MA,LYNN,0,181,0,POINT (-70.948512 42.46441)
CAMCARE HEALTH CORPORA,NJ,CAMDEN,0,0,265,POINT (-75.118833 39.945208)
PALOMAR POMERADO HEALT,CA,ESCONDIDO,227645,152133,0,POINT (-117.085357 33.130363)
GIANT EAGLE INC TAMARK,OH,COLUMBUS,40,0,10348,POINT (-82.996216 39.962649)
MONTEFIORE MEDICAL CEN,OH,HUDSON,0,13,0,POINT (-81.440421 41.239964)
MAINE MEDICAL CENTER,PA,PITTSBURGH,99,0,0,POINT (-79.994945 40.442169)
PHYSICIANS IN EMERGENC,KY,SHEPHERDSVILLE,191,0,0,POINT (-85.716478 37.988433)
GRADY MEMORIAL HOSPITA,OK,TUTTLE,151,890,0,POINT (-97.813521 35.290825)
BAPTIST MEDICAL GROUP,FL,PENSACOLA,23,0,0,POINT (-87.217578 30.406931)
NORTHSIDE SURGICAL PRO,GA,ATLANTA,110,1285,0,POINT (-84.391502 33.748547)
CARDIOLOGY CONSULTANTS,PA,KENNETT SQUARE,18,27,0,POINT (-75.710506 39.847045)
HOCKING VALLEY COMMUNI,OH,LOGAN,28434,10356,0,POINT (-82.406891 39.53986)
LSU HEALTH SCIENCES CE,MO,SAINT LOUIS,1165,627,0,POINT (-90.200309 38.630276)
ALEXANDRIA IMMEDIATE C,MD,PIKESVILLE,1261,241,0,POINT (-76.722774 39.374273)
QUALITY CARE EMERGENCY,OH,NAPOLEON,9277,1801,0,POINT (-84.124808 41.391099)
THE METHODIST HOSPITAL,IN,GARY,298444,234905,0,POINT (-87.349684 41.601967)
SWITZERLAND COUNTY AUD,IN,VEVAY,40,411,0,POINT (-85.067087 38.747651)
CARE FOR THE HOMELESS,NY,BRONX,2874,111,120,POINT (-73.920265 40.826153)
WELLS BROS PHARMACY SE,IA,BLOOMFIELD,0,0,7231,POINT (-92.413691 40.750666)
PRIVIA MEDICAL GROUP,MD,OWINGS,24,95,0,POINT (-76.602233 38.718163)
KARANT PHARMACY SERVIC,OH,NORTON,160,0,6895,POINT (-81.638241 41.025819)
COUNTY OF CATAWBA DBA,NC,NEWTON,0,8590,0,POINT (-81.224521 35.660417)
FAIRBANKS MEMORIAL CAR,AK,FAIRBANKS,0,50,0,POINT (-147.738891 64.836661)
SAINTS MEDICAL GROUP,OK,OKLAHOMA CITY,3862,2673,10938,POINT (-97.521264 35.468494)
FLORIDA MEDICAL CLINIC,FL,TAMPA,4901,1033,0,POINT (-82.458776 27.947423)
PHARMACISTS ASSOCIATES,ND,COOPERSTOWN,0,0,741,POINT (-98.123851 47.438817)
SOUND INPATIENT PHYSIC,MI,PORT HURON,0,96642,0,POINT (-82.424522 42.975041)
MARY GREELEY MEDICAL C,IA,AMES,0,316101,737,POINT (-93.620181 42.026802)
FLOYD HEALTHCARE MANAG,GA,CARTERSVILLE,4068,225,0,POINT (-84.800036 34.163937)
PRIMARY HEALTH NETWORK,PA,SANDY LAKE,156,0,0,POINT (-80.082282 41.348667)
SAN GORGONIO MEMORIAL,CA,BANNING,1034,0,0,POINT (-116.876725 33.925467)
OCEAN PULMONARY ASSOCI,NJ,BRICK,0,233,0,POINT (-74.153109 40.074835)
GOLUB CORPORATION,NH,WEST LEBANON,0,0,4120,POINT (-72.310799 43.6492)
SAN JOAQUIN EMERGENCY,CA,MERCED,16776,3315,0,POINT (-120.481971 37.306968)
SOUTH DAYTON ACUTE CAR,OH,DAYTON,0,64990,0,POINT (-84.192203 39.760982)
MCCORMICK AMBULANCE IN,CA,TORRANCE,0,56865,0,POINT (-118.340038 33.836318)
SIU PHYSICIANS AND SUR,IL,LITCHFIELD,0,0,16,POINT (-89.655383 39.17816)
BEST PRACTICES INPATIE,IL,ARLINGTON HEIGHTS,0,24181,0,POINT (-87.98051 42.08296)
BANNER PRIMARY CARE PH,AZ,PHOENIX,0,57,0,POINT (-112.072585 33.448204)
GEISINGER CARESITE PHA,PA,SCRANTON,107,483,0,POINT (-75.662346 41.409113)
FLORIDA HOSPITAL CENTR,FL,TAMPA,1358155,164272,37,POINT (-82.458776 27.947423)
ST PAUL PLACE SPECIALI,MD,CHEVERLY,0,234,0,POINT (-76.912982 38.927709)
JONES REGIONAL MEDICAL,IA,CLARENCE,0,0,120,POINT (-91.054688 41.88695)
AHPAFFS LLC,PA,PHILADELPHIA,9712,222,160,POINT (-75.16562 39.951061)
SERGEANT BLUFF PHARMAC,IA,SERGEANT BLUFF,0,0,2120,POINT (-96.363068 42.400299)
ALLIANCE PHYSICIANS IN,OH,TROY,0,664,280,POINT (-84.208058 40.041657)
SANFORD CLINIC,SD,PIERRE,2039,395,2128,POINT (-100.319917 44.372426)
ST BERNARDS HOME HEALT,AR,JONESBORO,493144,2702559,0,POINT (-90.710505 35.838393)
TOWNE CENTRE PHARMACY,NY,POUGHQUAG,200,0,5287,POINT (-73.682198 41.608898)
WELLMAX HEALTH MEDICAL,FL,WEST PALM BEACH,0,0,8521,POINT (-80.054947 26.714439)
USC CARE MEDICAL GROUP,NV,LAS VEGAS,208,4136,0,POINT (-115.140597 36.169202)
CONNECTICUT HEART PHYS,CT,HARTFORD,9,9,0,POINT (-72.673356 41.765775)
JL SLOCUM LLC,PA,OLD FORGE,80,0,3663,POINT (-75.738213 41.367593)
PATIENT FIRST,MD,SILVER SPRING,135141,13565,0,POINT (-77.028121 38.996088)
BUFFALO TRAIL INPATIEN,KY,FRANKFORT,0,7409,0,POINT (-84.87329 38.201005)
UNIVERSITY HEALTH SERV,GA,AUGUSTA,23193,2977704,0,POINT (-81.964397 33.472494)
MINUTECLINIC DIAGNOSTI,LA,PRAIRIEVILLE,2356728,74378,0,POINT (-90.972736 30.304505)
NATURAL STATE LABORATO,AR,NORTH LITTLE ROCK,648259,10576,0,POINT (-92.267774 34.756059)
RADADVANTAGE NEW JERSE,NY,WEST ISLIP,9613,23731,0,POINT (-73.306541 40.706256)
GPS PHYSICIAN GROUP PC,MD,TOWSON,104,3148,0,POINT (-76.602736 39.401814)
GOLDEN STATE ANESTHESI,CA,RIVERSIDE,0,685,0,POINT (-117.377025 33.980534)
UNIVERSITY HOSPITALS M,OH,MAYFIELD HEIGHTS,755,854,0,POINT (-81.463245 41.520067)
EMS TELEMEDICINE,PA,EXTON,2287,0,4480,POINT (-75.63154 40.032966)
PILL CADDY INC,NC,TRENTON,0,0,6722,POINT (-77.353656 35.06361)
PLAQUEMINES PRIMARY CA,LA,PORT SULPHUR,0,0,40,POINT (-89.7081 29.492329)
BAYFRONT HEALTH BROOKS,FL,SPRING HILL,537510,953060,0,POINT (-82.538748 28.476924)
UPMC HILLMAN CANCER CE,PA,YORK,0,134,0,POINT (-76.734668 39.960339)
THE EMORY CLINIC,GA,LITHONIA,0,3439,0,POINT (-84.105776 33.712085)
INDIANA NEPHROLOGY AND,IN,RICHMOND,0,10244,0,POINT (-84.890357 39.827286)
SPECTRUM HEALTH REED C,MI,EVART,0,0,80,POINT (-85.259375 43.900588)
MEDSTAR LABORATORY INC,IL,HILLSIDE,164969065,1517,0,POINT (-87.904899 41.871534)
EXAM LABS INC,IL,ADDISON,15471449,0,0,POINT (-87.988676 41.93194)
NORTH EAST OHIO GROUP,OH,WESTLAKE,0,70,0,POINT (-81.921797 41.45975)
EMPIRE CITY LABORATORI,NY,BROOKLYN,36077279,6122793,0,POINT (-73.990996 40.692529)
MADISON MEMORIAL CENTE,MO,FREDERICKTOWN,16322,286,0,POINT (-90.292839 37.559665)
NOVANT HEALTH FORSYTH,NC,KING,11964,5371,0,POINT (-80.359411 36.280472)
DELPHI HOSPITALIST LLC,NY,GOUVERNEUR,0,707,0,POINT (-75.46305 44.336822)
UMDC DEPARTMENT OF SUR,FL,HIALEAH,0,495,0,POINT (-80.281502 25.827202)
AHS OKLAHOMA PHYS GROU,OK,OKLAHOMA CITY,0,350,0,POINT (-97.521264 35.468494)
NORTHWEST COMMUNITY HE,IL,CHICAGO,0,629,0,POINT (-87.632398 41.883229)
SANTA CLARA VALLEY MED,CA,SAN JOSE,2063,4777,0,POINT (-121.888128 37.334807)
UNITED HEALTH CENTERS,CA,CLOVIS,2096,397,0,POINT (-119.696376 36.823982)
JOHNS LTC PHARMACY INC,MI,SHELBY TOWNSHIP,0,0,2600,POINT (-82.993698 42.662102)
PHYSICIANS IMMEDIATE M,GA,FAYETTEVILLE,0,0,3120,POINT (-84.455114 33.447755)
METAIRIE HEALTH MART L,LA,METAIRIE,0,0,6630,POINT (-90.155404 30.003581)
US HEALTH CLINICS,CA,LOS ANGELES,977478,8110,0,POINT (-118.243344 34.052238)
MCLEOD LORIS SEACOAST,SC,LORIS,0,24636,0,POINT (-78.888811 34.05572)
LOMA LINDA UNIVERSITY,CA,LOMA LINDA,0,57379,0,POINT (-117.261123 34.048261)
TURENNE PHARMEDCO INC,AL,MONTGOMERY,0,0,26417,POINT (-86.299651 32.376547)
MEA MUNSTER LLC,IN,MUNSTER,41594,33046,0,POINT (-87.508975 41.561282)
AKRON MERCY MEDICAL CL,NE,SOUTH SIOUX CITY,285,523,0,POINT (-96.413981 42.469835)
OCHSNER MORGAN CITY LL,LA,MORGAN CITY,93167,181414,40,POINT (-91.197065 29.698443)
ADVOCATE HEALTH AND HO,IL,ROMEOVILLE,24,0,0,POINT (-88.087129 41.647813)
ST CLAIR SPECIALTY PHY,MI,DETROIT,0,1493,0,POINT (-83.047853 42.332916)
PRIMARY CARE AND HOPE,TN,MURFREESBORO,1536,1636,0,POINT (-86.391449 35.845963)
COBORNS INC,MN,SAINT CLOUD,0,0,177,POINT (-94.115542 45.569048)
GREGORY ZAWADA MD PLLC,AR,LITTLE ROCK,0,32392,0,POINT (-92.275105 34.748745)
AMG LLC,LA,CLINTON,0,0,13266,POINT (-91.01782 30.865727)
GM HOME CARE INC,NH,BEDFORD,2037,0,0,POINT (-71.513201 42.9463)
NORTHSIDE SURGICAL PRO,GA,ELLIJAY,0,681,0,POINT (-84.482472 34.695069)
CICERO MEDICAL CLINICA,IL,CICERO,0,0,13188,POINT (-87.749156 41.851159)
FAIRVIEW CLINICS,MN,OSSEO,14252,2079,2640,POINT (-93.402088 45.120329)
MARSHFIELD CLINIC,IL,CHICAGO,400,0,0,POINT (-87.632398 41.883229)
HOSPITALIST MEDICINE P,MD,CHEVERLY,0,16701,0,POINT (-76.912982 38.927709)
HAMILTON PHYSICIAN GRO,GA,CHATSWORTH,39861,9899,0,POINT (-84.769567 34.766103)
COLORADO OBGYN PARTNER,CO,THORNTON,398157,0,2202,POINT (-104.984149 39.868977)
MARTIN LUTHER KING COM,CA,LOS ANGELES,714832,1590605,0,POINT (-118.243344 34.052238)
KUSH PHARMACY LLC DBA,PA,LEBANON,7920,1413,136798,POINT (-76.426335 40.339785)
SIBLEY MEMORIAL HOSPIT,DC,WASHINGTON,0,14254,0,POINT (-77.019912 38.892062)
PLATTE RIVER MEDICAL C,CO,BRIGHTON,154,0,2800,POINT (-104.812604 39.986767)
MACOMB EMERGENCY PHYSI,MI,MOUNT CLEMENS,94711,32707,0,POINT (-82.878335 42.596795)
ADVOCATE HEALTH AND HO,IL,WEST DUNDEE,378,395,0,POINT (-88.278605 42.098069)
SPRING VIEW PHYSICIAN,KY,LEBANON,199,0,516,POINT (-85.252597 37.569922)
KANSAS CITY FIRE DEPAR,MO,KANSAS CITY,0,0,43496,POINT (-94.578559 39.099792)
RAMASITA PISIPATI MD,NY,BRONX,5110,1445,0,POINT (-73.920265 40.826153)
CHILD HEALTH CARE ASSO,NY,EAST SYRACUSE,2276,696,0,POINT (-76.071072 43.063993)
HILLCREST URGENT CARE,AL,MOBILE,56107,7419,0,POINT (-88.044822 30.688943)
NORMAN REGIONAL HOSPIT,OK,NORMAN,10790,1420729,0,POINT (-97.445943 35.221051)
EAST END FAMILY MEDICA,MS,CLEVELAND,3166,30,0,POINT (-90.721696 33.747697)
LABORATORY CORPORATION,NC,BURLINGTON,177767065,2240485,0,POINT (-79.433217 36.099177)
ESTERBROOK WRD PHARMAC,PA,WEST READING,80,0,19092,POINT (-75.947876 40.333561)
MEDICAL ASSOCIATES OF,NJ,BELLEVILLE,0,188,0,POINT (-74.152885 40.787363)
PHARMACHOICE PHARMACY,NY,ASTORIA,1400,0,50755,POINT (-73.930603 40.7719)
SPRAIN BROOK MANOR,NY,SCARSDALE,0,44477,0,POINT (-73.796583 40.988732)
SAINT FRANCIS HEALTHCA,MO,SIKESTON,35565,5285,0,POINT (-89.586197 36.881087)
PHARMA SERV INC,GA,LINCOLNTON,40,0,12805,POINT (-82.4776 33.792268)
COWBIRD EMERGENCY PHYS,PA,WINDBER,66,175,0,POINT (-78.825925 40.231493)
TESH LLC,NJ,NEWARK,0,0,1120,POINT (-74.174388 40.731507)
KANSAS UNIVERSITY PHYS,KS,KANSAS CITY,0,1342,0,POINT (-94.626804 39.1127)
STATCARE URGENT AND WA,IL,SHOREWOOD,130,0,0,POINT (-87.888315 43.088174)
NORTHSIDE HOSPITAL,GA,CUMMING,236444,6432166,0,POINT (-84.140359 34.207048)
NOVANT MEDICAL GROUP,NC,CAROLINA SHORES,1700,220,0,POINT (-78.583391 33.901148)
FLORIDA HOSPITAL MEDIC,FL,KISSIMMEE,815,4323,0,POINT (-81.402518 28.294751)
THE URGENCY ROOM,MN,EDINA,17278,5162,0,POINT (-93.348666 44.910489)
SAINT ALEXIUS MEDICAL,SD,REDFIELD,0,624,0,POINT (-98.52021 44.878111)
MERCYONE MEDICAL GROUP,IA,DES MOINES,3583,84652,0,POINT (-93.620309 41.588822)
BRIGHTPOINT LABORATORI,NY,SOUTH OZONE PARK,88967,7200,0,POINT (-78.889999 43.0886)
WVU HOSPITALS INC,PA,UNIONTOWN,184,2627,0,POINT (-79.7283 39.899226)
X GENE INC,MD,FREDERICK,207005,0,0,POINT (-77.410935 39.414181)
BRIGHAM AND WOMENS PHY,MA,BOSTON,1553,2288,0,POINT (-71.056742 42.358894)
INPHYNET PRIMARY CARE,GA,COLUMBUS,36209,14169,0,POINT (-84.990405 32.466682)
DELORA A DENNEY MD,MS,PICAYUNE,728,0,2480,POINT (-89.67937 30.527679)
VAIL CLINIC LLC,CO,VAIL,0,27823,0,POINT (-106.37087 39.640257)
LINCOLN MEDICAL GROUP,TN,FAYETTEVILLE,0,2061,0,POINT (-86.570587 35.152246)
COMPASS HEALTH INC,MO,OSCEOLA,5642,1204,0,POINT (-93.694619 38.051019)
TOTAL HEALTH CARE CLIN,FL,HOLLYWOOD,999,0,0,POINT (-80.139055 26.011757)
AVERA HOME MEDICAL EQU,SD,ABERDEEN,0,1241,0,POINT (-98.488057 45.465163)
THOMAS C JOHNSTON JR,PA,SHIPPENSBURG,160,0,8193,POINT (-77.520602 40.050604)
ABBEVILLE EMERGENCY GR,LA,ABBEVILLE,24482,8626,0,POINT (-92.134547 29.973848)
NORTH FLORIDA MEDICAL,FL,TALLAHASSEE,440,155,27,POINT (-84.278328 30.440741)
VITAE HEALTH MEDICAL K,KY,LOUISVILLE,0,1222,0,POINT (-85.751569 38.256078)
EDWARD HEALTH VENTRUES,IL,AURORA,68,0,0,POINT (-88.309507 41.75527)
NORTH MEMORIAL AMBULAN,MN,MINNEAPOLIS,731,175,0,POINT (-93.264346 44.977479)
PANDYA MEDICAL CENTER,GA,SUWANEE,0,1534,2747,POINT (-84.065935 34.058175)
UPTOWN HOME MEDICAL,AZ,KINGMAN,0,0,24265,POINT (-114.053105 35.188579)
ROCKAWAY SHOPRITE ASSO,NJ,LINDEN,0,0,4040,POINT (-74.249961 40.629587)
MONROE CARE PHARMACY,NJ,MONROE TOWNSHIP,0,0,1477,POINT (-74.428478 40.319229)
MICHIGAN MEDICINE,MI,YPSILANTI,0,0,120,POINT (-83.614543 42.239806)
CAPSTONE RURAL HEATH C,AL,PARRISH,5654,0,13796,POINT (-87.284447 33.730664)
AMED MEDICAL GROUP PLL,TN,NASHVILLE,0,0,4440,POINT (-86.779932 36.166687)
BOUTIQ MEDICAL CLINIC,FL,ORLANDO,0,560,16057,POINT (-81.378879 28.538331)
MARQUIS LABS LLC,OK,OKLAHOMA CITY,29609544,1358,0,POINT (-97.521264 35.468494)
SOUTHERN NEW HAMPSHIRE,NH,NASHUA,125917,177404,0,POINT (-71.46395 42.75787)
H JOHNSONS PHARMACY IN,TN,BRISTOL,0,0,6648,POINT (-82.185697 36.58453)
ADVANTAGECARE PHYSICAN,NY,JAMAICA,7947,592,5205,POINT (-73.806099 40.691399)
SOLANO GATEWAY MEDICA,CA,FAIRFIELD,9670,4456,0,POINT (-122.049851 38.251488)
BROCK MEDICAL LLC,KY,HENDERSON,40231,6801,277,POINT (-87.590825 37.836281)
PIEDMONT CARDIOLOGY OF,GA,ATLANTA,0,60,0,POINT (-84.391502 33.748547)
ELLIOT HOSPITAL OF THE,NH,MANCHESTER,622070,779486,0,POINT (-71.463091 42.990926)
CAHABA MEDICAL CARE FO,AL,FAIRFIELD,2876,148,120,POINT (-86.912659 33.486925)
FIRST CARE MEDICAL CEN,AK,ANCHORAGE,120894,17295,0,POINT (-149.899597 61.216583)
PEDIATRIC URGENT CARE,CO,FORT COLLINS,2870,266,0,POINT (-105.082459 40.588972)
CASHWAY PHARMACY OF SC,LA,SCOTT,0,0,8795,POINT (-92.096255 34.696481)
DOMINICAN MEDICAL FOUN,CA,SCOTTS VALLEY,82,0,0,POINT (-122.014695 37.051095)
CVS PHARMACY,NY,ORANGEBURG,1799760,0,26180109,POINT (-73.954884 41.045962)
EMERGENCY MEDICINE PHY,HI,AIEA,25109,10395,0,POINT (-157.930911 21.379009)
POLK COUNTY A POLITICA,FL,BARTOW,0,46923,0,POINT (-81.841436 27.900997)
JEWISH RENAISSANCE MED,NJ,NEWARK,13989,2813,890,POINT (-74.174388 40.731507)
CHW MEDICAL FOUNDATION,CA,SACRAMENTO,0,6092,0,POINT (-121.50012 38.582087)
EAST AREA VOLUNTEER EM,NY,EAST SYRACUSE,0,916,0,POINT (-76.071072 43.063993)
NORTHEAST MEDICAL GROU,CT,MILFORD,0,23938,0,POINT (-73.057564 41.224276)
FAMILYCARE MEDICAL GRO,NY,SYRACUSE,445,105,156,POINT (-76.147448 43.047945)
PORTER PHYSICIAN SERVI,IN,WHEATFIELD,21,0,0,POINT (-87.0526 41.187173)
UNION MEDICAL CARE PLL,NY,BROOKLYN,449982,13917,200,POINT (-73.990996 40.692529)
PATIENTS CHOICE PHARMA,FL,DAVIE,0,0,5814,POINT (-80.232207 26.065087)
GREATER SEACOAST COMMU,NH,ROCHESTER,563,0,0,POINT (-70.975677 43.303835)
CENTRAL EMERGENCY PHYS,GA,ATLANTA,223066,34664,0,POINT (-84.391502 33.748547)
NEWPORT CENTER RADIOLO,CA,NEWPORT BEACH,39,78,0,POINT (-117.930378 33.615967)
DAY KIMBALL HOSPITAL,CT,PUTNAM,72240,4816,53420,POINT (-71.911904 41.914993)
PEDIATRIC GROUP ASSOCI,IL,MOLINE,3349,370,0,POINT (-90.489271 41.492225)
GOLDEN VALLEY MEMORIAL,MO,CLINTON,680315,245688,0,POINT (-93.774125 38.3681)
NORTH SHORE URGENT CAR,NY,WANTAGH,75708,3414,0,POINT (-73.510498 40.670941)
EAST CAROLINA HEALTH H,NC,PINETOPS,929,254,0,POINT (-77.636504 35.790673)
KNOXVILLE HMA PHYSICIA,TN,KNOXVILLE,85,42,0,POINT (-83.916677 35.962631)
WARREN CLINIC INC,OK,MUSKOGEE,368,166272,0,POINT (-95.369421 35.747864)
TUSCALOOSA LUNG AND SL,AL,TUSCALOOSA,0,152483,0,POINT (-87.565564 33.210617)
BULL CITY PHYSICIANS P,NC,HENDERSON,211434,33944,0,POINT (-78.399157 36.329522)
CAREPOINT EMERGENCY ME,KS,WICHITA,2222,215,0,POINT (-97.335571 37.686024)
